region,age_group,gender,population,smokers,quitters,never_smokers
Border,0-14,Female,42214.0,0.0,0.00760411237977922,0.9108826455678211
Border,0-14,Male,44302.0,0.00027086813236422734,0.004469324184009751,0.9165048981987269
Border,15-19,Female,13778.0,0.04557991000145159,0.027435041370300478,0.8756713601393525
Border,15-19,Male,14539.0,0.07276979159502028,0.03397757755003783,0.8453126074695646
Border,20-24,Female,10332.0,0.16473093302361594,0.06310491676345335,0.7128339140534262
Border,20-24,Male,11169.0,0.24066612946548482,0.07225355895782971,0.622258035634345
Border,25-29,Female,9483.0,0.20499841822208162,0.12200780343773067,0.6169988400295265
Border,25-29,Male,9705.0,0.31190108191653787,0.11695002575991757,0.502627511591963
Border,30-34,Female,12056.0,0.17534837425348374,0.17493364299933642,0.5904114134041142
Border,30-34,Male,11000.0,0.28045454545454546,0.15736363636363637,0.48972727272727273
Border,35-39,Female,14833.0,0.16483516483516483,0.23097148250522484,0.5499898874132003
Border,35-39,Male,13626.0,0.2471745193013357,0.2089387934830471,0.48334067224423893
Border,40-44,Female,16149.0,0.15418911387702025,0.262059570252028,0.5355130348628399
Border,40-44,Male,15276.0,0.2208038753600419,0.24705420267085623,0.47289866457187746
Border,45-49,Female,14972.0,0.1483435746727224,0.26529521773978093,0.5414774245257814
Border,45-49,Male,14699.0,0.20273487992380435,0.27716171168106674,0.46819511531396696
Border,50-54,Female,14089.0,0.15373695791042657,0.27894101781531694,0.5218965150117113
Border,50-54,Male,14279.0,0.19090972757195881,0.3140275929686953,0.4438686182505778
Border,55-59,Female,13361.0,0.14227976947833246,0.2730334555796722,0.5442706384252676
Border,55-59,Male,13139.0,0.17893294771291574,0.3172996422863232,0.4619834081741381
Border,60-64,Female,12304.0,0.1367847854356307,0.3111183355006502,0.5107282184655396
Border,60-64,Male,11979.0,0.15443693129643543,0.3544536271808999,0.4467818682694716
Border,65-69,Female,10975.0,0.12209567198177676,0.3267425968109339,0.5073348519362186
Border,65-69,Male,11107.0,0.1336994688034573,0.413973170072927,0.4103718375799046
Border,70-74,Female,9411.0,0.09754542556582722,0.3224949527149081,0.5323557539050048
Border,70-74,Male,9538.0,0.10798909624659257,0.4396099811281191,0.4074229398196687
Border,75-79,Female,7210.0,0.09015256588072122,0.3217753120665742,0.5459084604715673
Border,75-79,Male,7111.0,0.09211081423147237,0.47321051891435806,0.40036563071297987
Dublin,0-14,Female,131090.0,0.0,0.004912655427568846,0.8672743916393317
Dublin,0-14,Male,137489.0,0.00014546618274916538,0.006378692113550902,0.8615452872593444
Dublin,15-19,Female,43685.0,0.05006295066956621,0.02112853382167792,0.830559688680325
Dublin,15-19,Male,44304.0,0.0683911159263272,0.02676959191043698,0.8021397616468039
Dublin,20-24,Female,50643.0,0.16247062772742532,0.056118318425053805,0.6927907114507434
Dublin,20-24,Male,48921.0,0.22963553484188795,0.0670468714866826,0.5978005355573272
Dublin,25-29,Female,55409.0,0.1760002887617535,0.09819704380154848,0.646501470880182
Dublin,25-29,Male,54570.0,0.2745281290086128,0.11040864944108485,0.5232728605460876
Dublin,30-34,Female,59696.0,0.16074778879656929,0.1470617796837309,0.5980802733851515
Dublin,30-34,Male,57155.0,0.2438106902283265,0.15088793631353337,0.4977342314758114
Dublin,35-39,Female,61366.0,0.15125639604992994,0.19693315516735652,0.5532053580158394
Dublin,35-39,Male,58328.0,0.2260663832121794,0.1975380606226855,0.46382526402413937
Dublin,40-44,Female,61215.0,0.14411500449236297,0.22793432982112227,0.5331536388140161
Dublin,40-44,Male,59256.0,0.21175914675307142,0.23285405697313352,0.44211556635614957
Dublin,45-49,Female,51550.0,0.14469447138700292,0.24506304558680891,0.5240737148399612
Dublin,45-49,Male,50718.0,0.19890374226113017,0.26018376118932135,0.4385030955479317
Dublin,50-54,Female,45307.0,0.15803297503697,0.2575098770609398,0.5080230427969188
Dublin,50-54,Male,44280.0,0.1989159891598916,0.27901987353206864,0.4280939476061427
Dublin,55-59,Female,40456.0,0.16309076527585525,0.2711587897963219,0.4971821237888076
Dublin,55-59,Male,37879.0,0.19187412550489719,0.3022519073893186,0.4247736212677209
Dublin,60-64,Female,35683.0,0.1592354902894936,0.2989098450242412,0.47524031051200855
Dublin,60-64,Male,33126.0,0.1743343597174425,0.3372275553945541,0.41007063937692445
Dublin,65-69,Female,30885.0,0.14424477901894123,0.32264853488748585,0.4666019103124494
Dublin,65-69,Male,27590.0,0.14389271475172163,0.39017760057992024,0.39140993113446904
Dublin,70-74,Female,26644.0,0.11263323825251463,0.31515538207476357,0.5014262122804384
Dublin,70-74,Male,23308.0,0.11652651450145873,0.4210142440363824,0.3890080659001201
Dublin,75-79,Female,20912.0,0.08483167559296098,0.313504208110176,0.5284525631216527
Dublin,75-79,Male,17460.0,0.08310423825887743,0.4625429553264605,0.38424971363115695
Mid-East,0-14,Female,80057.0,0.0002123487015501455,0.002798006420425447,0.9200819416165982
Mid-East,0-14,Male,84467.0,0.00017758414528750872,0.007813702392650385,0.9131968697834657
Mid-East,15-19,Female,26525.0,0.04591894439208294,0.024957587181903863,0.8796606974552309
Mid-East,15-19,Male,27930.0,0.0656999641962048,0.026638023630504833,0.8591836734693877
Mid-East,20-24,Female,20719.0,0.1614460157343501,0.0667020609102756,0.7164921086925045
Mid-East,20-24,Male,22703.0,0.236708805003744,0.07056336167026384,0.6299607981324055
Mid-East,25-29,Female,18967.0,0.19191226867717615,0.12664100806664205,0.6267200927927453
Mid-East,25-29,Male,18622.0,0.2914831919235313,0.12759102137257008,0.5149822790248094
Mid-East,30-34,Female,23993.0,0.1789271870962364,0.18422039761597134,0.5840036677364231
Mid-East,30-34,Male,21572.0,0.26747635824216576,0.17666419432597813,0.4913777118486928
Mid-East,35-39,Female,30422.0,0.16672145158109264,0.2403852475182434,0.5427979751495629
Mid-East,35-39,Male,27073.0,0.24614930004063088,0.22369150075721198,0.47157684778192294
Mid-East,40-44,Female,33313.0,0.14856062197940745,0.2677633356347372,0.5362771290487197
Mid-East,40-44,Male,31080.0,0.22175032175032175,0.2694337194337194,0.4517052767052767
Mid-East,45-49,Female,30141.0,0.14528383265319664,0.2688364685975913,0.5406920805547262
Mid-East,45-49,Male,29413.0,0.19521980076836773,0.28759392105531567,0.4656784415054568
Mid-East,50-54,Female,26452.0,0.1502343868138515,0.2803946771510661,0.5279373960381067
Mid-East,50-54,Male,26781.0,0.186960905119301,0.3143273216086031,0.4489750196034502
Mid-East,55-59,Female,22718.0,0.1474601637468087,0.28127476010212166,0.5302403380579276
Mid-East,55-59,Male,22653.0,0.17516443738136228,0.3279477331920717,0.4488147265262879
Mid-East,60-64,Female,19012.0,0.14627603618767093,0.3026509572901325,0.5068377866610562
Mid-East,60-64,Male,18770.0,0.15881726158763984,0.36547682472029835,0.427437400106553
Mid-East,65-69,Female,16321.0,0.13032289688131854,0.324428650205257,0.5007046136878868
Mid-East,65-69,Male,15829.0,0.13329963990144672,0.4053951607808453,0.41310253332491
Mid-East,70-74,Female,13790.0,0.10855692530819434,0.31312545322697605,0.5286439448875997
Mid-East,70-74,Male,13084.0,0.10875878936105167,0.4327422806481198,0.40973708346071536
Mid-East,75-79,Female,10435.0,0.08452323909918544,0.3016770483948251,0.5578342117872545
Mid-East,75-79,Male,9773.0,0.08380231249360483,0.47498209352297144,0.3874961628977796
Mid-West,0-14,Female,47766.0,0.00012561236025624922,0.004877946656617678,0.89015199095591
