age_group,gender,population,smokers,quitters,never_smokers
0-14,Female,493154.0,4.6638575374021095e-05,0.0052174371494502735,0.8972065521115108
0-14,Male,517157.0,0.0001237535216578331,0.006576339486848288,0.8941772034411214
15-19,Female,165286.0,0.05022808949336302,0.02502934307805864,0.8575499437338916
15-19,Male,172342.0,0.07005837230622831,0.02969096331712525,0.8314398115375242
20-24,Female,151697.0,0.1704516239609221,0.06348840122085472,0.6924065736303289
20-24,Male,155446.0,0.24180101128366122,0.07239813182712967,0.6029360678306293
25-29,Female,148410.0,0.19401657570244593,0.11468903712687824,0.6202007950946702
25-29,Male,147398.0,0.2905466831300289,0.11815628434578489,0.5090706793850663
30-34,Female,171706.0,0.1765808999103118,0.16934760579129443,0.5760660664158503
30-34,Male,160517.0,0.26281328457421954,0.16263697926076365,0.48351264975049374
35-39,Female,199657.0,0.16606480113394473,0.2239190211212229,0.5347270569025879
35-39,Male,183212.0,0.24186734493373796,0.21164006724450363,0.45986616597166124
40-44,Female,210963.0,0.1535245516986391,0.25447116318975366,0.5226508913885374
40-44,Male,200561.0,0.21863672398921027,0.24983920104107976,0.4480980848719342
45-49,Female,188330.0,0.14884511230287262,0.2649604417777306,0.5249986725428769
45-49,Male,185174.0,0.2023664229319451,0.2790996576193202,0.44636396038320714
50-54,Female,170010.0,0.15719075348508912,0.2764072701605788,0.509770013528616
50-54,Male,169993.0,0.1956551152106263,0.3058596530445371,0.4321883842275858
55-59,Female,155266.0,0.1535622737753275,0.278019656589337,0.5165780016230211
55-59,Male,151899.0,0.1795601024364874,0.3211015214056709,0.4403847293267237
60-64,Female,138239.0,0.15000108507729368,0.30429184238890616,0.4931603961255507
60-64,Male,134431.0,0.1608334387157724,0.35425608676570136,0.42628560376698826
65-69,Female,120762.0,0.12948609661979762,0.32105298024212914,0.4956277637005018
65-69,Male,117382.0,0.13386209129168017,0.39955018657034297,0.41154521136119676
70-74,Female,103603.0,0.10413791106435141,0.3091030182523672,0.5285947318127854
70-74,Male,99281.0,0.10741229439671236,0.42862179067495293,0.4066437686969309
75-79,Female,80534.0,0.08159286760871184,0.3044676782476966,0.5526113194427198
75-79,Male,73726.0,0.08321352033204026,0.4614518623009522,0.3991943140818707
