age_group,sex,smoking_status,variable_1,variable_2,n_complete,correlation,correlation_estimable,joint_generation_method,source_dataset
50-54,female,current,age_at_initiation,cigarettes_per_day,1250,-0.04364887934599191,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,current,age_at_initiation,smoking_duration,1250,-0.9279734351288662,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,current,cigarettes_per_day,smoking_duration,1250,0.05865041280822275,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,age_at_initiation,age_at_stopping,1250,0.21313624507490214,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,age_at_initiation,cigarettes_per_day,1250,0.10702582759865967,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,age_at_initiation,smoking_duration,1250,-0.07550434785745606,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,age_at_initiation,years_since_quitting,1250,-0.25543450674513807,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,age_at_stopping,cigarettes_per_day,1250,0.29065718816694525,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,age_at_stopping,smoking_duration,1250,0.9581408367914217,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,age_at_stopping,years_since_quitting,1250,-0.9861073934435433,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,cigarettes_per_day,smoking_duration,1250,0.26528181124698164,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,cigarettes_per_day,years_since_quitting,1250,-0.27383772686494967,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,female,former,smoking_duration,years_since_quitting,1250,-0.9315674184228782,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,current,age_at_initiation,cigarettes_per_day,1250,0.22160072944131504,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,current,age_at_initiation,smoking_duration,1250,-0.9411675141256739,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,current,cigarettes_per_day,smoking_duration,1250,-0.18944493316792665,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,former,age_at_initiation,age_at_stopping,1250,-0.003345537160594132,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,former,age_at_initiation,cigarettes_per_day,1250,-0.38524494841635226,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,former,age_at_initiation,smoking_duration,1250,-0.2790973024325067,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,former,age_at_initiation,years_since_quitting,1250,-0.04952565082613345,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,former,age_at_stopping,cigarettes_per_day,1250,-0.09533046730377567,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,former,age_at_stopping,smoking_duration,1250,0.9611911828585268,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,former,age_at_stopping,years_since_quitting,1250,-0.9869574358187674,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
50-54,male,former,cigarettes_per_day,smoking_duration,1250,0.014740366690154138,true,complete_standardised_residual_vector_resampling,data_raw/eurobarometer.dta
