year,age_group,gender,population
2022,0-4,Female,144247
2022,10-14,Female,183366
2022,15-19,Female,165149
2022,20-24,Female,153935
2022,25-29,Female,150042
2022,30-34,Female,173099
2022,35-39,Female,201467
2022,40-44,Female,212653
2022,45-49,Female,189522
2022,5-9,Female,167678
2022,50-54,Female,171437
2022,55-59,Female,156508
2022,60-64,Female,139819
2022,65-69,Female,121887
2022,70-74,Female,104517
2022,75-79,Female,80880
2022,80-84,Female,53034
2022,85-89,Female,33425
2022,90-94,Female,14904
2022,95-99,Female,4443
2022,0-4,Male,151587
2022,10-14,Male,191513
2022,15-19,Male,172627
2022,20-24,Male,158006
2022,25-29,Male,149092
2022,30-34,Male,161427
2022,35-39,Male,184343
2022,40-44,Male,202073
2022,45-49,Male,186483
2022,5-9,Male,175901
2022,50-54,Male,171442
2022,55-59,Male,153236
2022,60-64,Male,136015
2022,65-69,Male,118595
2022,70-74,Male,100167
2022,75-79,Male,74137
2022,80-84,Male,43724
2022,85-89,Male,22833
2022,90-94,Male,7338
2022,95-99,Male,1415
2023,0-4,Female,143958
2023,10-14,Female,184173
2023,15-19,Female,172744
2023,20-24,Female,159081
2023,25-29,Female,154403
2023,30-34,Female,172814
2023,35-39,Female,200079
2023,40-44,Female,221117
2023,45-49,Female,192642
2023,5-9,Female,163923
2023,50-54,Female,177124
2023,55-59,Female,159394
2023,60-64,Female,144323
2023,65-69,Female,124111
2023,70-74,Female,107815
2023,75-79,Female,84381
2023,80-84,Female,55777
2023,85-89,Female,34337
2023,90-94,Female,15546
2023,95-99,Female,4706
2023,0-4,Male,151080
2023,10-14,Male,192802
2023,15-19,Male,179493
2023,20-24,Male,162353
2023,25-29,Male,154762
2023,30-34,Male,163027
2023,35-39,Male,182808
2023,40-44,Male,207191
2023,45-49,Male,188403
2023,5-9,Male,172361
2023,50-54,Male,176865
2023,55-59,Male,156760
2023,60-64,Male,140595
2023,65-69,Male,120108
2023,70-74,Male,102650
2023,75-79,Male,77869
2023,80-84,Male,46362
2023,85-89,Male,23775
2023,90-94,Male,8049
2023,95-99,Male,1668
2024,0-4,Female,142379
2024,10-14,Female,183136
2024,15-19,Female,178707
2024,20-24,Female,163201
2024,25-29,Female,158834
2024,30-34,Female,172046
2024,35-39,Female,197328
2024,40-44,Female,224667
2024,45-49,Female,198244
2024,5-9,Female,160184
