age_group,gender,quitting_rate,initiation_rate
15-19,Man,0.0420334297759912,0.011219006998763369
20-24,Man,0.0357144148258649,0.006927651873452399
25-29,Man,0.03031523290583394,0.004270551836596386
30-34,Man,0.02571047201150937,0.0026298330659955812
35-39,Man,0.021789405171961727,0.0016184242507179727
40-44,Man,0.01845498288959676,0.0009955980852279576
45-49,Man,0.015622658647153101,0.0006123074150509972
50-54,Man,0.013219150011871164,0.00037652137332068073
55-59,Man,0.01118120600133865,0.00023150989186380657
60-64,Man,0.009454426851838938,0.00014233927515873443
65-69,Man,0.007992164080650187,8.751142329481701e-05
70-74,Man,0.006754515585061048,5.380162569764205e-05
75-79,Man,0.005707421364123171,3.307655755888866e-05
80-84,Man,0.0051525380618589476,2.447093499882871e-05
15-19,Woman,0.042608894861231414,0.005351817304759801
20-24,Woman,0.03620664487166488,0.0032970844015557965
25-29,Woman,0.030735426086606836,0.002029589036341704
30-34,Woman,0.02606855903409881,0.0012487339252910553
35-39,Woman,0.02209412194045234,0.0007680660004159163
40-44,Woman,0.018713963008101325,0.00047232965331144087
45-49,Woman,0.015842535473887653,0.00029042999214693756
50-54,Woman,0.01340566100617525,0.00017856926248244103
55-59,Woman,0.011339294480188462,0.00010978749555722125
60-64,Woman,0.009588338069948648,6.749744392793632e-05
65-69,Woman,0.008105533865188183,4.1496796081837336e-05
70-74,Woman,0.006850450689804154,2.5511581062037245e-05
75-79,Woman,0.005788571346519409,1.568402253584275e-05
80-84,Woman,0.005225840967144125,1.1603409234842803e-05
