"Statistic Label","Year","Age","Sex","Criteria for Projection","UNIT","VALUE"
"Population Projections based on Census 2022","2022","Under 1 year","Male","Method - M2","Number","29546"
"Population Projections based on Census 2022","2022","Under 1 year","Female","Method - M2","Number","28138"
"Population Projections based on Census 2022","2022","1 year","Male","Method - M2","Number","28985"
"Population Projections based on Census 2022","2022","1 year","Female","Method - M2","Number","27646"
"Population Projections based on Census 2022","2022","2 years","Male","Method - M2","Number","30263"
"Population Projections based on Census 2022","2022","2 years","Female","Method - M2","Number","28987"
"Population Projections based on Census 2022","2022","3 years","Male","Method - M2","Number","31050"
"Population Projections based on Census 2022","2022","3 years","Female","Method - M2","Number","29546"
"Population Projections based on Census 2022","2022","4 years","Male","Method - M2","Number","31743"
"Population Projections based on Census 2022","2022","4 years","Female","Method - M2","Number","29930"
"Population Projections based on Census 2022","2022","5 years","Male","Method - M2","Number","32787"
"Population Projections based on Census 2022","2022","5 years","Female","Method - M2","Number","31445"
"Population Projections based on Census 2022","2022","6 years","Male","Method - M2","Number","34168"
"Population Projections based on Census 2022","2022","6 years","Female","Method - M2","Number","32735"
"Population Projections based on Census 2022","2022","7 years","Male","Method - M2","Number","35529"
"Population Projections based on Census 2022","2022","7 years","Female","Method - M2","Number","33655"
"Population Projections based on Census 2022","2022","8 years","Male","Method - M2","Number","36369"
"Population Projections based on Census 2022","2022","8 years","Female","Method - M2","Number","34547"
"Population Projections based on Census 2022","2022","9 years","Male","Method - M2","Number","37048"
"Population Projections based on Census 2022","2022","9 years","Female","Method - M2","Number","35296"
"Population Projections based on Census 2022","2022","10 years","Male","Method - M2","Number","38187"
"Population Projections based on Census 2022","2022","10 years","Female","Method - M2","Number","36175"
"Population Projections based on Census 2022","2022","11 years","Male","Method - M2","Number","38391"
"Population Projections based on Census 2022","2022","11 years","Female","Method - M2","Number","36918"
"Population Projections based on Census 2022","2022","12 years","Male","Method - M2","Number","39036"
"Population Projections based on Census 2022","2022","12 years","Female","Method - M2","Number","37373"
"Population Projections based on Census 2022","2022","13 years","Male","Method - M2","Number","38484"
"Population Projections based on Census 2022","2022","13 years","Female","Method - M2","Number","36847"
"Population Projections based on Census 2022","2022","14 years","Male","Method - M2","Number","37415"
"Population Projections based on Census 2022","2022","14 years","Female","Method - M2","Number","36053"
"Population Projections based on Census 2022","2022","15 years","Male","Method - M2","Number","35939"
"Population Projections based on Census 2022","2022","15 years","Female","Method - M2","Number","34346"
"Population Projections based on Census 2022","2022","16 years","Male","Method - M2","Number","34734"
"Population Projections based on Census 2022","2022","16 years","Female","Method - M2","Number","33188"
"Population Projections based on Census 2022","2022","17 years","Male","Method - M2","Number","34981"
"Population Projections based on Census 2022","2022","17 years","Female","Method - M2","Number","32859"
"Population Projections based on Census 2022","2022","18 years","Male","Method - M2","Number","33907"
"Population Projections based on Census 2022","2022","18 years","Female","Method - M2","Number","32760"
"Population Projections based on Census 2022","2022","19 years","Male","Method - M2","Number","33066"
"Population Projections based on Census 2022","2022","19 years","Female","Method - M2","Number","31996"
"Population Projections based on Census 2022","2022","20 years","Male","Method - M2","Number","32481"
"Population Projections based on Census 2022","2022","20 years","Female","Method - M2","Number","31804"
"Population Projections based on Census 2022","2022","21 years","Male","Method - M2","Number","31460"
"Population Projections based on Census 2022","2022","21 years","Female","Method - M2","Number","30556"
"Population Projections based on Census 2022","2022","22 years","Male","Method - M2","Number","31905"
"Population Projections based on Census 2022","2022","22 years","Female","Method - M2","Number","31243"
"Population Projections based on Census 2022","2022","23 years","Male","Method - M2","Number","31423"
"Population Projections based on Census 2022","2022","23 years","Female","Method - M2","Number","30487"
"Population Projections based on Census 2022","2022","24 years","Male","Method - M2","Number","30737"
"Population Projections based on Census 2022","2022","24 years","Female","Method - M2","Number","29845"
"Population Projections based on Census 2022","2022","25 years","Male","Method - M2","Number","30489"
"Population Projections based on Census 2022","2022","25 years","Female","Method - M2","Number","29810"
"Population Projections based on Census 2022","2022","26 years","Male","Method - M2","Number","29700"
"Population Projections based on Census 2022","2022","26 years","Female","Method - M2","Number","29228"
"Population Projections based on Census 2022","2022","27 years","Male","Method - M2","Number","29492"
"Population Projections based on Census 2022","2022","27 years","Female","Method - M2","Number","29882"
"Population Projections based on Census 2022","2022","28 years","Male","Method - M2","Number","29191"
"Population Projections based on Census 2022","2022","28 years","Female","Method - M2","Number","30009"
"Population Projections based on Census 2022","2022","29 years","Male","Method - M2","Number","30220"
"Population Projections based on Census 2022","2022","29 years","Female","Method - M2","Number","31113"
"Population Projections based on Census 2022","2022","30 years","Male","Method - M2","Number","31289"
"Population Projections based on Census 2022","2022","30 years","Female","Method - M2","Number","33291"
"Population Projections based on Census 2022","2022","31 years","Male","Method - M2","Number","32386"
"Population Projections based on Census 2022","2022","31 years","Female","Method - M2","Number","33897"
"Population Projections based on Census 2022","2022","32 years","Male","Method - M2","Number","32518"
"Population Projections based on Census 2022","2022","32 years","Female","Method - M2","Number","34641"
"Population Projections based on Census 2022","2022","33 years","Male","Method - M2","Number","32003"
"Population Projections based on Census 2022","2022","33 years","Female","Method - M2","Number","34714"
"Population Projections based on Census 2022","2022","34 years","Male","Method - M2","Number","33231"
"Population Projections based on Census 2022","2022","34 years","Female","Method - M2","Number","36556"
"Population Projections based on Census 2022","2022","35 years","Male","Method - M2","Number","35118"
"Population Projections based on Census 2022","2022","35 years","Female","Method - M2","Number","38447"
