Statistic Label,Census Year,Sex,Smoking Tobacco Products,Age Group,County,UNIT,VALUE
Population,2022,Both Sexes,Smoke daily,All Ages,State,Number,449703.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,State,Number,572.0
Population,2022,Both Sexes,Smoke daily,15-19 years,State,Number,8459.0
Population,2022,Both Sexes,Smoke daily,20-24 years,State,Number,30998.0
Population,2022,Both Sexes,Smoke daily,25-29 years,State,Number,39737.0
Population,2022,Both Sexes,Smoke daily,30-34 years,State,Number,44277.0
Population,2022,Both Sexes,Smoke daily,35-39 years,State,Number,50767.0
Population,2022,Both Sexes,Smoke daily,40-44 years,State,Number,52261.0
Population,2022,Both Sexes,Smoke daily,45-49 years,State,Number,47244.0
Population,2022,Both Sexes,Smoke daily,50-54 years,State,Number,45223.0
Population,2022,Both Sexes,Smoke daily,55-59 years,State,Number,39466.0
Population,2022,Both Sexes,Smoke daily,60-64 years,State,Number,32863.0
Population,2022,Both Sexes,Smoke daily,65-69 years,State,Number,24370.0
Population,2022,Both Sexes,Smoke daily,70-74 years,State,Number,16630.0
Population,2022,Both Sexes,Smoke daily,75-79 years,State,Number,9847.0
Population,2022,Both Sexes,Smoke daily,80-84 years,State,Number,4468.0
Population,2022,Both Sexes,Smoke daily,85-89 years,State,Number,2417.0
Population,2022,Both Sexes,Smoke daily,95 years and over,State,Number,104.0
Population,2022,Both Sexes,Smoke daily,All Ages,Carlow,Number,6329.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Carlow,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Carlow,Number,129.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Carlow,Number,457.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Carlow,Number,598.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Carlow,Number,596.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Carlow,Number,732.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Carlow,Number,750.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Carlow,Number,687.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Carlow,Number,631.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Carlow,Number,537.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Carlow,Number,461.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Carlow,Number,312.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Carlow,Number,212.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Carlow,Number,139.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Carlow,Number,61.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Carlow,Number,
Population,2022,Both Sexes,Smoke daily,95 years and over,Carlow,Number,0.0
Population,2022,Both Sexes,Smoke daily,All Ages,Dublin City,Number,57596.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Dublin City,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Dublin City,Number,848.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Dublin City,Number,4121.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Dublin City,Number,6193.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Dublin City,Number,6497.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Dublin City,Number,6259.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Dublin City,Number,5947.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Dublin City,Number,5323.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Dublin City,Number,5625.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Dublin City,Number,5056.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Dublin City,Number,4241.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Dublin City,Number,3081.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Dublin City,Number,2116.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Dublin City,Number,1207.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Dublin City,Number,643.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Dublin City,Number,373.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Dublin City,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Dun Laoghaire-Rathdown,Number,14271.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Dun Laoghaire-Rathdown,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Dun Laoghaire-Rathdown,Number,265.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Dun Laoghaire-Rathdown,Number,1075.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Dun Laoghaire-Rathdown,Number,1310.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Dun Laoghaire-Rathdown,Number,1311.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Dun Laoghaire-Rathdown,Number,1336.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Dun Laoghaire-Rathdown,Number,1504.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Dun Laoghaire-Rathdown,Number,1336.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Dun Laoghaire-Rathdown,Number,1352.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Dun Laoghaire-Rathdown,Number,1372.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Dun Laoghaire-Rathdown,Number,1167.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Dun Laoghaire-Rathdown,Number,875.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Dun Laoghaire-Rathdown,Number,658.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Dun Laoghaire-Rathdown,Number,377.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Dun Laoghaire-Rathdown,Number,199.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Dun Laoghaire-Rathdown,Number,113.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Dun Laoghaire-Rathdown,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Fingal,Number,25081.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Fingal,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Fingal,Number,443.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Fingal,Number,1631.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Fingal,Number,2214.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Fingal,Number,2639.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Fingal,Number,3105.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Fingal,Number,3347.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Fingal,Number,2946.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Fingal,Number,2461.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Fingal,Number,2061.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Fingal,Number,1679.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Fingal,Number,1158.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Fingal,Number,702.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Fingal,Number,419.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Fingal,Number,147.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Fingal,Number,91.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Fingal,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,South Dublin,Number,27413.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,South Dublin,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,South Dublin,Number,448.0
Population,2022,Both Sexes,Smoke daily,20-24 years,South Dublin,Number,1815.0
Population,2022,Both Sexes,Smoke daily,25-29 years,South Dublin,Number,2336.0
Population,2022,Both Sexes,Smoke daily,30-34 years,South Dublin,Number,2698.0
Population,2022,Both Sexes,Smoke daily,35-39 years,South Dublin,Number,3345.0
Population,2022,Both Sexes,Smoke daily,40-44 years,South Dublin,Number,3522.0
Population,2022,Both Sexes,Smoke daily,45-49 years,South Dublin,Number,2934.0
Population,2022,Both Sexes,Smoke daily,50-54 years,South Dublin,Number,2632.0
Population,2022,Both Sexes,Smoke daily,55-59 years,South Dublin,Number,2280.0
Population,2022,Both Sexes,Smoke daily,60-64 years,South Dublin,Number,1966.0
Population,2022,Both Sexes,Smoke daily,65-69 years,South Dublin,Number,1515.0
Population,2022,Both Sexes,Smoke daily,70-74 years,South Dublin,Number,1088.0
Population,2022,Both Sexes,Smoke daily,75-79 years,South Dublin,Number,501.0
Population,2022,Both Sexes,Smoke daily,80-84 years,South Dublin,Number,208.0
Population,2022,Both Sexes,Smoke daily,85-89 years,South Dublin,Number,
Population,2022,Both Sexes,Smoke daily,95 years and over,South Dublin,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Kildare,Number,20537.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Kildare,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Kildare,Number,407.0
