year,age,sex,population_count,source_dataset,source_scenario
2022,50,female,36829,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,50,male,36699,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,51,female,35246,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,51,male,35102,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,52,female,34618,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,52,male,34538,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,53,female,32392,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,53,male,32837,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,54,female,32352,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,54,male,32266,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,55,female,31962,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,55,male,31799,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,56,female,31438,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,56,male,30921,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,57,female,32022,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,57,male,31079,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,58,female,30879,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,58,male,30029,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,59,female,30207,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,59,male,29408,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,60,female,29757,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,60,male,29163,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,61,female,29099,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,61,male,28010,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,62,female,28139,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,62,male,27386,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,63,female,26509,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,63,male,26138,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,64,female,26315,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,64,male,25318,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,65,female,25646,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,65,male,25345,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,66,female,24867,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,66,male,24004,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,67,female,24674,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,67,male,23827,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,68,female,23179,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,68,male,22711,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,69,female,23521,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,69,male,22708,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,70,female,22366,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,70,male,21647,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,71,female,21348,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,71,male,20585,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,72,female,21294,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,72,male,20118,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,73,female,20250,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,73,male,19247,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,74,female,19259,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,74,male,18570,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,75,female,18449,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,75,male,17638,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,76,female,17744,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,76,male,16193,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,77,female,16015,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,77,male,14671,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,78,female,14696,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,78,male,13423,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,79,female,13976,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
2022,79,male,12212,CSO_population_projections_based_on_Census_2022,CSO_Census2022_M2
