age_group,sex,smoking_status,variable_1,variable_2,n_complete,correlation,correlation_estimable,joint_generation_method,source_dataset
50-54,female,current,age_at_initiation,cigarettes_per_day,10,0.546236876817,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,current,age_at_initiation,smoking_duration,10,-0.982664869752,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,current,cigarettes_per_day,smoking_duration,10,-0.504973720167,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,age_at_initiation,age_at_stopping,12,0.417397437363,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,age_at_initiation,cigarettes_per_day,12,-0.041190224154,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,age_at_initiation,smoking_duration,12,-0.082400188522,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,age_at_initiation,years_since_quitting,12,-0.403367296073,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,age_at_stopping,cigarettes_per_day,12,0.364191512330,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,age_at_stopping,smoking_duration,12,0.871240133896,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,age_at_stopping,years_since_quitting,12,-0.986370330059,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,cigarettes_per_day,smoking_duration,12,0.421658841561,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,cigarettes_per_day,years_since_quitting,12,-0.383834853309,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,female,former,smoking_duration,years_since_quitting,12,-0.863870981130,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,current,age_at_initiation,cigarettes_per_day,7,0.409571414553,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,current,age_at_initiation,smoking_duration,7,-0.990510386636,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,current,cigarettes_per_day,smoking_duration,7,-0.360309910787,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,age_at_initiation,age_at_stopping,6,0.323012722867,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,age_at_initiation,cigarettes_per_day,6,-0.451526296858,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,age_at_initiation,smoking_duration,6,0.007037118636,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,age_at_initiation,years_since_quitting,6,-0.342741084905,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,age_at_stopping,cigarettes_per_day,6,0.303328278027,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,age_at_stopping,smoking_duration,6,0.948644267506,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,age_at_stopping,years_since_quitting,6,-0.998268192481,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,cigarettes_per_day,smoking_duration,6,0.471429959714,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,cigarettes_per_day,years_since_quitting,6,-0.331096252236,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
50-54,male,former,smoking_duration,years_since_quitting,6,-0.940219948668,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,current,age_at_initiation,cigarettes_per_day,9,0.263118736493,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,current,age_at_initiation,smoking_duration,9,-0.970954377331,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,current,cigarettes_per_day,smoking_duration,9,-0.175448527006,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,age_at_initiation,age_at_stopping,10,0.442493292923,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,age_at_initiation,cigarettes_per_day,10,0.623333618575,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,age_at_initiation,smoking_duration,10,0.075494019698,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,age_at_initiation,years_since_quitting,10,-0.504441059812,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,age_at_stopping,cigarettes_per_day,10,0.241852230503,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,age_at_stopping,smoking_duration,10,0.927618252530,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,age_at_stopping,years_since_quitting,10,-0.990319341004,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,cigarettes_per_day,smoking_duration,10,0.009287173764,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,cigarettes_per_day,years_since_quitting,10,-0.306272166174,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,female,former,smoking_duration,years_since_quitting,10,-0.891051136756,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
