age_group,sex,smoking_status,history_variable,n,mean,sd,minimum,maximum,p01,p05,p25,p50,p75,p95,p99,source_n_exact_age_group,source_n_sex_status_model,synthetic_n,plco_role,distribution_recommendation,source_dataset,source_processing
50-54,female,current,age_at_initiation,1250,16.751799230226425,3.6045437022969904,10.162573745355477,26.278481812446177,10.213962307447028,12.306732484264518,13.926413693794533,16.423481894956005,18.34655099232883,25.043313369589757,26.144788270238983,9,34,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,current,cigarettes_per_day,1250,14.075483763964648,4.800724300840905,5.114950093115812,22.881052655669045,5.406877504840592,6.231773459878772,10.026101379521398,15.000000748573068,18.921184184022334,20.346954656692958,22.448459190088872,9,34,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,current,smoking_duration,1250,35.24820076977357,3.7891742736391545,24.956686630410243,43.748849599900154,25.35954153122415,27.16549457330585,33.243069988621755,35.59525683778505,37.93602683610487,40.693267515735485,42.76570092751308,9,34,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,current,years_since_quitting,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,34,1250,plcom2012_predictor,structural_zero,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,current,standard_pack_years,1250,24.860076047116465,9.164032048518107,8.950838465412074,46.938711137159785,9.064368670534773,10.385671519527156,18.717515906902854,22.50554646529647,33.21467591833442,39.72700527226946,44.46874512076685,9,34,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,current,adjusted_pack_years,1250,24.11007037514454,9.013954050917755,8.609478619427103,46.16302142601919,8.747273106512857,10.073192943841486,18.070766127465532,21.687359352595124,32.259542529156036,38.80915358347304,43.622132526234324,9,34,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,former,age_at_initiation,1250,17.51219603186081,2.434873424758027,11.787714597663328,25.26142674227055,12.092850635356482,13.687417837376122,15.754345934742545,17.66227384980511,18.877288748068942,21.895879644159383,24.371345989972802,9,38,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,former,age_at_stopping,1250,37.78884873444848,8.48042617633949,22.999618490947896,52.62879952560115,23.11110703379571,24.081533207086178,29.970659508248666,39.32996305985117,44.527712445376515,50.18961141146015,51.85197757121857,9,38,1250,chronology_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,former,cigarettes_per_day,1250,14.264798386096611,5.187767090408864,5.312198211271534,28.475658212503006,5.312198211271534,5.4306929944559155,10.000000319754372,15.000000748573068,17.393397185066338,21.02995251167058,27.931303945445592,9,38,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,former,smoking_duration,1250,20.27665270258767,8.309286162997598,4.025252340624345,36.0,4.25677146273895,6.551895376535036,11.878803642061596,20.7151037619004,26.98455534875945,32.63473009335466,34.97687396514147,9,38,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,former,years_since_quitting,1250,14.211151265551523,8.49389341038478,1.0693219828932357,31.000381509052104,1.2288860956600303,1.9069523202233398,7.517192023541483,12.747781546290554,22.780375587934067,28.062326403386074,29.88889296620429,9,38,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,former,standard_pack_years,1250,15.03343111510812,9.210029671209114,2.4145308873691897,44.78684621678891,2.5571421322075705,3.3854233019106053,6.716372616261355,12.724420250985332,21.817318868158655,29.81169303789926,41.75428116393482,9,38,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,female,former,adjusted_pack_years,1250,13.283032763972518,9.24293394227761,0.9417682412807953,42.85921627560957,1.0547436363248832,1.6530535146486751,5.871023344112201,11.642136376189285,20.614691778603486,28.45961730555255,39.65302533130075,9,38,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,current,age_at_initiation,1250,17.161736446461763,4.0353935850829705,11.73128094104462,26.135453998879917,11.813757519947385,12.571331752447175,14.53029248715512,16.39175860763965,17.35036506472155,25.827279153534533,26.135453998879917,7,32,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,current,cigarettes_per_day,1250,18.3833885648181,5.914263106944766,8.663833118121286,36.07176099099642,8.663833118121286,9.02679144645167,14.818479400807833,18.98828984448448,19.812375759073394,33.17466553950659,34.94223748970584,7,32,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,current,smoking_duration,1250,34.83826355353824,4.174627365538964,24.947187199696966,42.073716595732954,24.947187199696966,25.684517967409846,33.55115506190258,35.80463693510734,37.54368119882031,39.98603219897507,41.89726566766423,7,32,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,current,years_since_quitting,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,32,1250,plcom2012_predictor,structural_zero,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,current,standard_pack_years,1250,31.78858558791604,10.335703815724678,14.397149090139914,69.60892572312787,15.092142993959238,16.474058209692906,26.047820965394504,31.612725870702707,36.22598616580855,55.365608466334244,65.82740181251606,7,32,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,current,adjusted_pack_years,1250,30.658516713956843,9.853301826783191,13.878472861234773,60.0,14.59428689647668,16.036263795663416,24.93156407885043,30.443531069244862,35.404936663582426,54.081363233555884,60.0,7,32,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,former,age_at_initiation,1250,17.83615071861014,2.502359348097341,12.115161616302107,25.82238458878516,12.330689135609868,13.396388658324895,16.198897438868265,17.821444022161227,19.49622271798273,21.891499602161826,24.078138744929987,5,63,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,former,age_at_stopping,1250,36.22556085567051,8.709929182334536,19.803160811490727,52.85032818152216,20.294448198372734,22.83812648211797,28.683324222119467,35.42576145421492,42.041874104959106,50.6375194248728,52.466970535999124,5,63,1250,chronology_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,former,cigarettes_per_day,1250,18.540898112452833,8.634658398053352,5.137748274620251,37.541792676138556,5.191447567728519,5.373728406354057,12.442027010697181,16.644181259115626,24.84359271066005,33.886390110459715,36.920126853499276,5,63,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,former,smoking_duration,1250,18.389410137060374,9.070308877152865,1.7640174679324936,39.902687376199566,2.169187620989452,5.427746241374038,11.0,17.36848243205923,24.987716296447637,34.30275298968939,38.673683081531145,5,63,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,former,years_since_quitting,1250,15.774439144329492,8.785045007145111,0.8804370610364316,34.19683918850927,0.9949606886086997,1.2720557498090983,9.647963873229408,15.532560932678848,23.328156051656357,29.973717184566762,32.73877149753323,5,63,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,former,standard_pack_years,1250,17.105485359661582,10.996098023898396,1.055177078049096,50.186221917958356,1.3536655622041303,2.792042084241945,7.308816706924833,17.112687480557284,24.012517597707767,38.059675646008905,43.764900487558016,5,63,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
50-54,male,former,adjusted_pack_years,1250,14.570000666669268,10.754022377560966,0.1706420353007506,49.258040630471996,0.26412449240935715,1.2509719100202348,4.933988265186633,12.811991735344762,21.332519008216806,35.482583168645434,42.257170754923315,5,63,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,current,age_at_initiation,1250,17.588681267012564,3.921775525752777,10.264583171368097,27.906891256175477,10.279356350216053,13.018396920655048,14.42809308515838,17.215478405553363,19.114731586114488,26.77492449134419,27.755595124409975,9,34,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,current,cigarettes_per_day,1250,14.040328690664301,5.309155284424033,4.495671280515852,23.219607544342775,4.6255330647126485,5.68868604302949,9.723746929168286,15.125195086904604,19.8425046666398,20.9433233920504,23.197644752734593,9,34,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,current,smoking_duration,1250,39.41131873298744,4.109714379234531,28.404810703925232,48.720643649783945,29.084695783545346,30.68283689227356,37.316686177438065,39.78452159444664,42.14176875812382,45.11052589702902,47.7175174553234,9,34,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,current,years_since_quitting,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,34,1250,plcom2012_predictor,structural_zero,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,current,standard_pack_years,1250,27.73415102530591,11.226279863317817,9.103615308259696,52.97613302999122,9.16361661364147,10.444922822271453,20.13379421473112,24.740534783912178,38.730547128678566,44.947590527194855,52.03571021528286,9,34,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,current,adjusted_pack_years,1250,27.176569205428265,11.098827996455558,8.945000312504897,52.43460855474241,8.989311401506423,10.183523790272481,19.66996839554317,24.125597129078,37.88379039955339,44.391232089857226,51.44966733345984,9,34,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,former,age_at_initiation,1250,16.504248976179205,2.697682445454398,11.21288920097348,24.79467537034621,11.412877274373438,12.564106638190022,14.346957214782023,16.663881249339063,17.99713630753434,22.124147100091438,24.366005877658612,8,38,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,former,age_at_stopping,1250,40.80676093837259,9.720616190624497,23.0,57.32816476892408,23.28534865307587,24.31876409472236,31.313001485987364,43.00230093166881,48.98271942615584,54.50183431042336,56.47401379028541,8,38,1250,chronology_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,former,cigarettes_per_day,1250,15.802329755817896,5.513392655161675,5.609051279212185,30.25381024103929,5.609051279212185,5.809466412346681,12.757792021794044,16.521079296915545,18.675047343889748,25.83306730660272,29.899845359956704,8,38,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,former,smoking_duration,1250,24.30251196219338,9.382726805526133,5.0,40.74891676265189,5.288212345541531,8.658808038952088,13.749073096751465,25.331251076464348,32.37772488163038,37.10897944450046,39.92174206882929,8,38,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,former,years_since_quitting,1250,16.193239061627413,9.734836871328127,1.4364506298132511,35.16964749975395,1.4981656895766378,2.4407374879790567,8.101845653508995,13.987284750637365,25.57617515516398,32.645607885144955,34.53826060031733,8,38,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,former,standard_pack_years,1250,19.971979719833723,11.563847661459166,3.0511025312169466,53.5500813824885,3.167871423767247,4.240230998583982,10.838319696003614,20.064870539558598,28.38757994404615,39.48423142710074,51.898499526357384,8,38,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,female,former,adjusted_pack_years,1250,18.35030647978955,11.773834074728267,1.4755100997127626,51.99650134721022,1.6683535640311526,2.343859215153972,8.855910245363438,18.09987283803239,27.479559352259663,37.62673247387679,50.285975959888255,8,38,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,current,age_at_initiation,1250,17.490868001104822,4.254276443568782,11.954568654015267,27.735110797679614,11.989427376908457,12.183237423899648,14.82849332652893,16.801082198603275,17.771114839023717,27.082961446923573,27.735110797679614,7,32,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,current,cigarettes_per_day,1250,19.201725983947487,7.0050896882551745,8.260779883759865,40.410079767216075,8.260779883759865,8.76605611934998,15.004339353312586,20.000000677601832,20.85489005735352,37.11264399821742,40.410079767216075,7,32,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,current,smoking_duration,1250,39.50913199889518,4.424385336236673,28.553292624487884,46.972431001969795,28.553292624487884,29.92001865610234,38.066933421742554,40.552627279340584,42.21277307828882,44.865963885732455,46.78458407699293,7,32,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,current,years_since_quitting,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,32,1250,plcom2012_predictor,structural_zero,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,current,standard_pack_years,1250,37.61730272263831,13.584731834637841,16.769186919172373,87.3358149136532,16.97838684495515,18.187951843270284,30.629116724734672,37.75620437016384,42.74218852629379,68.9232908460863,83.97320746087864,7,32,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,current,adjusted_pack_years,1250,35.89424710507856,10.860192489878097,16.381004868903226,60.0,16.649467706967883,17.921907744542047,29.378121015582202,36.9230977841371,41.96187327419087,60.0,60.0,7,32,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,former,age_at_initiation,1250,16.065316017398924,2.4764665275545936,11.136178320345035,23.158874163218307,11.136178320345035,11.629006860326669,14.612190118193354,16.165518383134554,17.773126673838455,20.16143338492757,22.89289817536691,6,63,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,former,age_at_stopping,1250,37.57128324721514,9.986374677438215,19.645960643115234,57.55047064104771,20.426597850567475,22.16574019939034,28.648762098919438,36.537164412029576,43.97120685394281,54.78584488765759,56.8452535263143,6,63,1250,chronology_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,former,cigarettes_per_day,1250,20.12109217537562,9.210998710477789,5.441022767345626,39.775656661787295,5.441022767345626,5.73144754648988,13.350302825400348,17.99146474268872,26.728804939467143,35.86549584901291,38.89382212750746,6,63,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,former,smoking_duration,1250,21.505967229816218,10.373758976781419,2.318806312105547,45.41416237099638,2.567980628140358,7.157961547601405,13.263465810163574,20.448656104994214,28.438192353056152,41.0,44.377774876335664,6,63,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,former,years_since_quitting,1250,19.428716752784858,10.022222177319653,1.2118085748749792,39.22294043422285,1.3573462505617842,1.9490296871611434,13.234874691749795,20.247878581496636,28.201720974739892,34.788027103735956,37.071187013986936,6,63,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
55-59,male,former,standard_pack_years,1250,21.784552500681865,13.847454950673583,1.473885248755485,60.599710493119446,1.6938412048539007,3.66386543933179,9.923297002898888,21.757671151449813,30.386322513914156,46.855694183970186,56.4728990100563,6,63,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
