sex,smoking_status,reason,n_records
male,current,duplicate_history,1
female,current,missing_essential_history,1
female,former,missing_essential_history,3
male,current,missing_essential_history,1
male,former,missing_essential_history,14
female,current,invalid_chronology,1
female,former,invalid_chronology,1
male,current,invalid_chronology,1
male,former,invalid_or_implausible_cigarettes_per_day,1
female,former,robust_multivariable_outlier,6
male,current,robust_multivariable_outlier,2
male,former,robust_multivariable_outlier,1
female,former,implausible_standard_pack_years,1
female,current,retained_for_modelling,34
female,former,retained_for_modelling,38
male,current,retained_for_modelling,32
male,former,retained_for_modelling,63
