age_group,sex,smoking_status,history_variant,mean_log_pack_years,sd_log_pack_years,mean_pack_years,sd_pack_years,source_dataset,source_adjustment_status
50-54,female,current,smokers,2.9379464451392234,0.5798175168546831,21.416504979601076,10.07682212237255,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
50-54,female,former,quitters_all,2.2840704861762378,1.2499488844507813,14.449246162796289,8.5470187341099,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
50-54,female,former,quitters_excl_10,1.4158299723931862,1.4599910945398178,7.123006480753449,6.345972693455668,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
50-54,female,former,quitters_excl_15,0.763497858894338,1.5682652827248875,3.791516007649248,3.4873575185675856,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
50-54,female,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
50-54,male,current,smokers,3.271857151181133,0.5580789105840676,29.645983292393073,16.00186334760671,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
50-54,male,former,quitters_all,1.7155598410682893,1.30181099603407,11.297521701101438,13.559112685746621,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
50-54,male,former,quitters_excl_10,1.3907916559569897,1.1520989676630937,7.916581855656418,12.003385532510615,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
50-54,male,former,quitters_excl_15,0.835204536245858,0.40414642389826455,2.4420505349319064,1.064830214957366,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
50-54,male,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
55-59,female,current,smokers,3.392858127842405,0.522205735769553,32.72128744970858,12.1189328607954,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
55-59,female,former,quitters_all,2.191819992700224,1.0009496250104863,12.719441517279398,9.185915930043526,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
55-59,female,former,quitters_excl_10,1.683238323451204,0.9778399681454449,7.795512322778588,6.848610478586718,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
55-59,female,former,quitters_excl_15,1.683238323451204,0.9778399681454449,7.795512322778588,6.848610478586718,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
55-59,female,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
55-59,male,current,smokers,3.1174756911327046,0.9159378001812845,28.59684301053467,14.149148562082203,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
55-59,male,former,quitters_all,2.174835371839743,1.3450073430137264,14.979397167490744,12.5056617721949,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
55-59,male,former,quitters_excl_10,1.9845822241998992,1.30198898879655,11.811756774861111,8.690623219300717,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
55-59,male,former,quitters_excl_15,2.2159117814751563,0.9520407218827708,12.193587469818183,8.050796624240617,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
55-59,male,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
60-64,female,current,smokers,3.084746787125097,0.43475320014232394,23.438132959765824,8.606792134889726,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
60-64,female,former,quitters_all,2.4716489055197113,1.8588045067413745,23.584950093103572,21.206894181013364,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
60-64,female,former,quitters_excl_10,1.0529506078269277,1.5040489324900632,5.626225721658815,5.569329055242287,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
60-64,female,former,quitters_excl_15,1.4113092926478974,1.6194811221706342,7.175595453611275,5.667703220053629,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
60-64,female,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
60-64,male,current,smokers,3.4377823259587705,1.1455108947205064,38.09804842697894,19.12360592124842,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
60-64,male,former,quitters_all,3.0195027097278455,1.06436835987835,28.3538056894925,16.66318571709771,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
60-64,male,former,quitters_excl_10,2.897427063085948,1.2621584722926424,27.504978782442052,19.573166544762433,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
60-64,male,former,quitters_excl_15,2.325594215149373,1.5705758125692968,17.623201272807066,14.513844612439112,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
60-64,male,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
65-69,female,current,smokers,3.0369605584903474,0.48456983431686035,22.83000647619905,9.997477474629429,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
65-69,female,former,quitters_all,2.149172776523118,2.112970939445782,19.567645579153165,20.13095451885335,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
65-69,female,former,quitters_excl_10,1.9397744026709323,2.1907781461605564,19.85127136327326,20.613307733944744,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
65-69,female,former,quitters_excl_15,1.9397744026709323,2.1907781461605564,19.85127136327326,20.613307733944744,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
65-69,female,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
65-69,male,current,smokers,3.7787911552953193,0.4657578381544172,43.553836347268565,13.88305667114491,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
65-69,male,former,quitters_all,3.058064382580705,1.0910585992287984,28.251678327574037,20.466949447318335,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
65-69,male,former,quitters_excl_10,2.767983405751609,0.9716073943396285,23.36848733395561,19.435006156497998,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
65-69,male,former,quitters_excl_15,2.767983405751609,0.9716073943396285,23.36848733395561,19.435006156497998,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
65-69,male,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
70-74,female,current,smokers,3.2487175547936378,0.6229616609677455,29.809180968826276,18.9743595121429,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
70-74,female,former,quitters_all,3.0212537813690448,0.7049176465038007,24.705049926291995,14.422919948736109,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
70-74,female,former,quitters_excl_10,2.9043693290684156,0.6939236805515122,21.927527285084,13.59491944914815,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
70-74,female,former,quitters_excl_15,2.77457746163606,0.6896144768280752,19.327154445667755,13.42805837625941,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
70-74,female,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
70-74,male,current,smokers,3.427757145248673,0.7319295278118816,36.02964934924819,21.599822941567442,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
70-74,male,former,quitters_all,3.429664733724796,0.40251935417031337,32.97622818079278,11.255220553465678,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
70-74,male,former,quitters_excl_10,3.416948475699674,0.4196302313348304,32.746759371496566,11.775097891026903,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
70-74,male,former,quitters_excl_15,3.3767894510809766,0.4194564090827644,31.467673753071534,11.578537142843558,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
70-74,male,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
75-79,female,current,smokers,3.715555992011758,1.4577665948916465,41.08142067816336,24.762311153281203,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
75-79,female,former,quitters_all,2.8107334116651272,1.495012178786376,25.295292464017965,30.22524720889058,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
75-79,female,former,quitters_excl_10,2.8107334116651272,1.495012178786376,25.295292464017965,30.22524720889058,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
75-79,female,former,quitters_excl_15,2.8107334116651272,1.495012178786376,25.295292464017965,30.22524720889058,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
75-79,female,never,structural_zero,,,0,0,model_rule,never_smokers_have_zero_pack_years
75-79,male,current,smokers,3.1606004509667365,1.4577665948916465,37.680081739023194,24.762311153281203,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
75-79,male,former,quitters_all,2.7736233634205165,1.1829553222145297,24.071909031023715,18.88604310721766,data_processed/pack_year_dist_cleaned.csv,final_processed_eligibility_estimate_copied_unchanged
